Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^TWII,^TWII,^TWII,^TWII,^TWII,^TWII
Date,,,,,,
2016-08-10,9200.3984375,9200.419921875,9200.419921875,9131.6298828125,9160.9404296875,2158200
2016-08-11,9131.80859375,9131.830078125,9187.1796875,9063.8095703125,9168.7001953125,2218600
2016-08-12,9150.3681640625,9150.3896484375,9173.7197265625,9135.33984375,9135.33984375,1924700
2016-08-15,9148.48828125,9148.509765625,9162.01953125,9117.259765625,9152.3603515625,1666600
2016-08-16,9110.3388671875,9110.3603515625,9165.580078125,9082.33984375,9146.08984375,1762700
2016-08-17,9117.6787109375,9117.7001953125,9133.0703125,9073.26953125,9121.1796875,1704800
2016-08-18,9122.478515625,9122.5,9128.7998046875,9093.509765625,9104.8798828125,1779500
2016-08-19,9034.248046875,9034.26953125,9175.1298828125,9034.26953125,9139.6904296875,1966900
2016-08-22,8981.7880859375,8981.8095703125,9012.7197265625,8928.330078125,9004.6796875,1680100
2016-08-23,9030.908203125,9030.9296875,9046.2998046875,8986.759765625,8987.0703125,1606000
2016-08-24,9017.3583984375,9017.3798828125,9054.759765625,9016.3896484375,9043.1298828125,1538600
2016-08-25,9115.4482421875,9115.4697265625,9115.4697265625,9031.33984375,9034.4697265625,1843600
2016-08-26,9131.6982421875,9131.7197265625,9131.7197265625,9092.080078125,9097.01953125,1535600
2016-08-29,9110.1484375,9110.169921875,9136.419921875,9027.349609375,9117.5302734375,1604400
2016-08-30,9110.5380859375,9110.5595703125,9134.3701171875,9093.8701171875,9113.33984375,1631700
2016-08-31,9068.8291015625,9068.849609375,9130.759765625,9044.5,9122.1904296875,2149900
2016-09-01,9001.1298828125,9001.150390625,9069.1298828125,8980.2099609375,9055.73046875,1891700
2016-09-02,8987.529296875,8987.5498046875,9038.48046875,8958.8095703125,9015.6298828125,1968000
2016-09-05,9090.109375,9090.1298828125,9100.0498046875,9032.3798828125,9032.3798828125,1467300
2016-09-06,9181.8291015625,9181.849609375,9181.849609375,9098.599609375,9102.830078125,1709300
2016-09-07,9259.0498046875,9259.0703125,9278.8798828125,9202.23046875,9202.23046875,1969500
2016-09-08,9262.869140625,9262.8896484375,9273.5703125,9224.8896484375,9241.9501953125,1860000
2016-09-09,9164.859375,9164.8798828125,9217.3701171875,9142.1298828125,9217.3701171875,1587900
2016-09-12,8947.0390625,8947.0595703125,9031.509765625,8947.0595703125,9031.509765625,1673200
2016-09-13,8940.8095703125,8940.830078125,9014.75,8885.5498046875,8983.9501953125,1797200
2016-09-14,8902.279296875,8902.2998046875,8965.3203125,8895.849609375,8913.1103515625,1755900
2016-09-19,9152.859375,9152.8798828125,9155.3798828125,9003.41015625,9003.41015625,1678200
2016-09-20,9161.5595703125,9161.580078125,9173.4599609375,9130.900390625,9141.2099609375,1425100
2016-09-21,9228.4794921875,9228.5,9228.5,9133.16015625,9141.919921875,1624800
2016-09-22,9235.2392578125,9235.259765625,9290.759765625,9207.41015625,9265.2802734375,1489300
2016-09-23,9284.599609375,9284.6201171875,9284.6201171875,9228.66015625,9240.25,1566400
2016-09-26,9194.4990234375,9194.51953125,9229.33984375,9189.490234375,9229.33984375,1242800
2016-09-29,9270.8798828125,9270.900390625,9303.1298828125,9238.490234375,9241.6103515625,1843300
2016-09-30,9166.8291015625,9166.849609375,9240.650390625,9160.91015625,9240.4404296875,1606100
2016-10-03,9234.1796875,9234.2001953125,9256.580078125,9212.3798828125,9219.51953125,1379500
2016-10-04,9287.7490234375,9287.76953125,9287.76953125,9224.4501953125,9228.66015625,1396600
2016-10-05,9272.259765625,9272.2802734375,9276.1298828125,9244.41015625,9260.6904296875,1339700
2016-10-06,9284.2890625,9284.3095703125,9284.3095703125,9242.830078125,9263.400390625,1405800
2016-10-07,9265.7890625,9265.8095703125,9289.9501953125,9249.0595703125,9289.66015625,1501300
2016-10-11,9219.7998046875,9219.8203125,9327.7099609375,9167.7197265625,9311.7900390625,2070400
2016-10-12,9252.5791015625,9252.599609375,9258.6904296875,9166.580078125,9201.5498046875,1385400
2016-10-13,9219.1494140625,9219.169921875,9285.0498046875,9187.7802734375,9268.2197265625,1523400
2016-10-14,9165.1494140625,9165.169921875,9216.6298828125,9149.8701171875,9198.259765625,1479500
2016-10-17,9176.19921875,9176.2197265625,9182.669921875,9074.990234375,9150.669921875,1260400
2016-10-18,9222.5595703125,9222.580078125,9222.580078125,9157.400390625,9175.0703125,1276700
2016-10-19,9283.9697265625,9283.990234375,9298.8701171875,9226.4599609375,9227.98046875,1506800
2016-10-20,9317.2197265625,9317.240234375,9331.8896484375,9279.150390625,9288.490234375,1631700
2016-10-21,9306.5498046875,9306.5703125,9348.08984375,9292.5302734375,9322.5498046875,1895600
2016-10-24,9322.4794921875,9322.5,9343.5703125,9308.5302734375,9333.9404296875,1257600
2016-10-25,9385.6298828125,9385.650390625,9399.9697265625,9334.7998046875,9338.08984375,1429900
2016-10-26,9362.2294921875,9362.25,9372.740234375,9338.83984375,9355.66015625,1311100
2016-10-27,9299.529296875,9299.5498046875,9370.3203125,9286.8603515625,9363.900390625,1445200
2016-10-28,9306.8994140625,9306.919921875,9320.5703125,9276.7099609375,9307.3896484375,1372600
2016-10-31,9290.099609375,9290.1201171875,9314.33984375,9194.48046875,9283.2001953125,1320100
2016-11-01,9272.6796875,9272.7001953125,9289.1201171875,9236.8203125,9272.2998046875,1119300
2016-11-02,9139.01953125,9139.0400390625,9230.23046875,9139.0400390625,9230.23046875,1373000
2016-11-03,9067.2490234375,9067.26953125,9154.1904296875,9067.26953125,9126.2900390625,1401300
2016-11-04,9068.1298828125,9068.150390625,9098.8798828125,9048.2099609375,9065.1103515625,1181400
2016-11-07,9189.8193359375,9189.83984375,9191.669921875,9102.9697265625,9102.9697265625,1245000
2016-11-08,9217.4091796875,9217.4296875,9230.2001953125,9165.0,9214.9501953125,1347800
2016-11-09,8943.1796875,8943.2001953125,9296.8603515625,8926.599609375,9252.26953125,2656500
2016-11-10,9152.1591796875,9152.1796875,9179.1796875,9070.6396484375,9070.6396484375,1998400
2016-11-11,8957.7392578125,8957.759765625,9067.650390625,8949.3798828125,9067.650390625,2518700
2016-11-14,8940.3798828125,8940.400390625,8991.9404296875,8879.6904296875,8955.26953125,2151600
2016-11-15,8931.009765625,8931.0302734375,8981.0498046875,8923.3603515625,8927.919921875,1949200
2016-11-16,8962.19921875,8962.2197265625,9032.3095703125,8955.759765625,8955.759765625,1851700
2016-11-17,8995.2392578125,8995.259765625,8998.23046875,8936.2998046875,8984.5703125,1704600
2016-11-18,9008.76953125,9008.7900390625,9025.98046875,8958.2197265625,8991.5,1779800
2016-11-21,9041.08984375,9041.1103515625,9049.759765625,8986.400390625,9009.7802734375,1807800
2016-11-22,9133.369140625,9133.3896484375,9161.1904296875,9058.580078125,9058.580078125,2146700
2016-11-23,9178.2099609375,9178.23046875,9202.7197265625,9146.7197265625,9146.7197265625,1926800
2016-11-24,9152.08984375,9152.1103515625,9183.16015625,9137.5595703125,9164.83984375,2022700
2016-11-25,9159.0498046875,9159.0703125,9191.33984375,9148.6298828125,9149.349609375,1840100
2016-11-28,9222.2197265625,9222.240234375,9241.5400390625,9167.330078125,9167.330078125,1910200
2016-11-29,9192.365234375,9192.3798828125,9249.0595703125,9192.3798828125,9220.9501953125,1889200
2016-11-30,9240.6953125,9240.7099609375,9240.7099609375,9189.6201171875,9196.08984375,2538900
2016-12-01,9263.515625,9263.5302734375,9278.9599609375,9241.7802734375,9245.5498046875,1996000
2016-12-02,9189.4755859375,9189.490234375,9214.5595703125,9165.900390625,9214.5595703125,1730600
2016-12-05,9160.6455078125,9160.66015625,9212.1904296875,9138.6396484375,9194.4599609375,1547800
2016-12-06,9250.7548828125,9250.76953125,9280.650390625,9209.7998046875,9209.7998046875,1649700
2016-12-07,9263.8779296875,9263.8896484375,9299.919921875,9247.5,9279.0,1682800
2016-12-08,9375.8486328125,9375.8603515625,9376.41015625,9308.900390625,9308.900390625,2170000
2016-12-09,9392.66796875,9392.6796875,9399.25,9366.8603515625,9383.0703125,1811800
2016-12-12,9349.9287109375,9349.9404296875,9430.33984375,9336.4501953125,9402.0498046875,1697400
2016-12-13,9382.1279296875,9382.1396484375,9382.1396484375,9342.5595703125,9361.9697265625,1856000
