Date,Close,High,Low,Open,Volume
2007-12-31,8.52817153930664,8.702216143204137,8.18008294245385,8.223593635221572,25029
2008-01-02,8.310615539550781,8.48465951778169,8.26710485046413,8.26710485046413,14723
2008-01-03,8.245348930358887,8.41939352672671,8.223593279445137,8.223593279445137,26501
2008-01-04,8.310615539550781,8.332371189565182,8.136571561319872,8.136571561319872,10306
2008-01-07,8.114816665649414,8.180083626673529,8.09306101197471,8.180083626673529,45641
2008-01-08,8.223593711853027,8.24534936391072,8.114816062506776,8.114816062506776,25029
2008-01-09,8.180084228515625,8.267106849617054,8.180084228515625,8.267106849617054,19140
2008-01-10,8.180084228515625,8.180084228515625,8.158328573240269,8.180084228515625,32390
2008-01-11,8.354126930236816,8.354126930236816,8.354126930236816,8.354126930236816,1472
2008-01-14,8.267104148864746,8.375881167820937,8.00603759273201,8.375881167820937,13250
2008-01-15,8.484660148620605,8.484660148620605,8.354126849771129,8.354126849771129,8833
2008-01-16,8.310615539550781,8.310615539550781,8.136571561319872,8.26710485046413,11778
2008-01-17,8.093059539794922,8.267104737532616,8.093059539794922,8.267104737532616,8833
2008-01-18,8.201837539672852,8.201837539672852,8.04954860721244,8.180081890615346,19140
2008-01-21,7.897262096405029,8.18008376617253,7.853750177371335,7.853750177371335,50058
2008-01-22,7.657949447631836,7.897260997904454,7.636194407554489,7.701460749670891,119257
2008-01-23,7.7014594078063965,7.7014594078063965,7.657948113348537,7.679703760577467,67726
2008-01-24,7.57092809677124,7.831994709268642,7.549172443906086,7.831994709268642,41224
2008-01-25,7.74497127532959,7.83199325974216,7.6579486799749015,7.766726924168262,25029
2008-01-28,7.57092809677124,7.657950097289631,7.570928096771241,7.657950097289631,25029
2008-01-29,7.74497127532959,7.74497127532959,7.570926695562331,7.570926695562331,23557
2008-01-30,7.636194229125977,7.810238211331095,7.4839052864898745,7.4839052864898745,11778
2008-01-31,7.723215579986572,7.810238181701156,7.527416558955247,7.527416558955247,13250
2008-02-01,7.614437580108643,7.72321459651593,7.614437580108642,7.701459559799724,10306
2008-02-12,7.549171447753906,7.614438397737061,7.527416408701672,7.549171447753906,11778
2008-02-13,7.57092809677124,7.570928096771241,7.549172443906086,7.549172443906086,4416
2008-02-14,7.723215579986572,7.723215579986572,7.570927248870376,7.570927248870376,23557
2008-02-15,7.74497127532959,7.91901524415473,7.723215015548799,7.91901524415473,7361
2008-02-18,7.83199405670166,7.83199405670166,7.744972063434001,7.744972063434001,8833
2008-02-19,7.83199405670166,7.87550535880658,7.83199405670166,7.87550535880658,2944
2008-02-20,7.897262096405029,7.897262096405029,7.831995134267885,7.831995134267885,4416
2008-02-21,7.984283447265625,8.158328067742206,7.984283447265625,8.006039712135241,10306
2008-02-22,8.13657283782959,8.223594229655282,7.9842832638367645,8.223594229655282,7361
2008-02-25,8.13657283782959,8.13657283782959,7.831994911728433,7.962528221351465,64781
2008-02-26,8.13657283782959,8.13657283782959,8.13657283782959,8.13657283782959,1472
