Date,Close,High,Low,Open,Volume
2011-04-21,31.785926818847656,32.444214811755195,29.670000192630877,30.563390416996068,3463011
2011-04-22,30.37531280517578,31.503807580872365,30.18722925204323,31.503807580872365,2344341
2011-04-25,29.62298011779785,30.798495669201593,29.622980117797848,30.56339125030123,1719346
2011-04-26,29.011714935302734,29.858084356975933,29.011714935302738,29.622982103349962,701600
2011-04-27,27.78917694091797,29.152773865319638,27.789176940917972,29.058734277488046,1201353
2011-04-28,26.848772048950195,27.601099831997647,26.66068846741341,26.989832554069555,1313220
2011-04-29,27.224931716918945,27.695136216914587,26.80174592209662,27.03684817209444,762397
2011-05-03,25.908353805541992,27.601094827273347,25.48516800485094,27.365992574015134,1039632
2011-05-04,26.331539154052734,26.472599631172155,25.673251111407975,25.908353360628876,214006
2011-05-05,25.014957427978516,25.861326642940163,24.68581129984463,25.861326642940163,734430
2011-05-06,24.30965232849121,25.014963448938772,24.074550075697243,24.732838128346614,400045
2011-05-09,24.638797760009766,25.156025362894287,24.1215723381582,24.30965371491342,200630
2011-05-10,23.839445114135742,24.63879355522204,23.79242423271315,24.63879355522204,235893
2011-05-11,23.98050880432129,24.26263413082118,23.839448322104214,23.839448322104214,307634
2011-05-12,25.62623405456543,25.62623405456543,24.30965559151296,24.403697377666663,530151
2011-05-13,26.989824295043945,26.989824295043945,25.767287932256977,25.861329694248106,1348482
2011-05-16,26.61366081237793,27.13088834919931,26.331537692762936,26.989825698875475,423148
2011-05-17,25.62623405456543,26.660687159156794,25.62623405456543,26.660687159156794,408557
2011-05-18,26.42558479309082,26.566645290852055,25.673254868253842,25.673254868253842,288178
2011-05-19,25.8613338470459,26.284519662928343,25.720273362440363,26.284519662928343,238325
2011-05-20,24.967941284179688,25.8613315438945,24.92092039982111,25.673250187492908,155640
2011-05-23,24.68581771850586,24.68581771850586,24.215613203833676,24.450715461169768,80252
2011-05-24,24.403696060180664,24.873902784530934,24.21561467906036,24.685819222377624,74172
2011-05-25,24.30965232849121,24.6387963548159,24.21561273599332,24.6387963548159,114298
2011-05-26,25.10900115966797,25.344105575875105,24.309650506629044,24.309650506629044,164152
2011-05-27,25.10900115966797,25.532186927808144,25.014961574217782,25.10900115966797,170232
