Date,Adj Close,Close,High,Low,Open,Volume
2013-03-05,111.22000122070312,111.22000122070312,111.29000091552734,110.16999816894531,110.16999816894531,0
2013-03-06,111.83000183105469,111.83000183105469,112.5,111.70999908447266,111.87999725341797,0
2013-03-07,112.9000015258789,112.9000015258789,113.12999725341797,112.13999938964844,112.13999938964844,0
2013-03-08,112.87000274658203,112.87000274658203,113.87000274658203,112.83000183105469,113.33999633789062,0
2013-03-11,113.0,113.0,113.37000274658203,112.91000366210938,113.2699966430664,0
2013-03-12,112.7699966430664,112.7699966430664,113.86000061035156,112.68000030517578,113.3499984741211,0
2013-03-13,112.3499984741211,112.3499984741211,113.41000366210938,111.97000122070312,113.05999755859375,0
2013-03-14,112.25,112.25,112.5999984741211,111.77999877929688,112.37000274658203,0
2013-03-15,112.33000183105469,112.33000183105469,113.1500015258789,112.26000213623047,112.73999786376953,0
2013-03-18,110.79000091552734,110.79000091552734,112.13999938964844,110.7699966430664,112.13999938964844,0
2013-03-19,111.75,111.75,111.75,111.19000244140625,111.19000244140625,0
2013-03-20,111.91000366210938,111.91000366210938,112.44999694824219,111.68000030517578,111.80999755859375,0
2013-03-21,112.27999877929688,112.27999877929688,112.81999969482422,112.27999877929688,112.31999969482422,0
2013-03-22,112.2699966430664,112.2699966430664,112.73999786376953,112.13999938964844,112.2300033569336,0
2013-03-26,113.38999938964844,113.38999938964844,113.5,113.0999984741211,113.2300033569336,0
2013-03-27,113.79000091552734,113.79000091552734,114.27999877929688,113.61000061035156,113.61000061035156,0
2013-03-28,113.62000274658203,113.62000274658203,114.16999816894531,113.38999938964844,114.05999755859375,0
2013-04-01,113.18000030517578,113.18000030517578,114.66999816894531,113.16999816894531,114.58999633789062,0
2013-04-02,113.41000366210938,113.41000366210938,113.73999786376953,113.11000061035156,113.18000030517578,0
2013-04-03,114.44000244140625,114.44000244140625,114.44000244140625,113.88999938964844,113.94999694824219,0
2013-04-08,111.52999877929688,111.52999877929688,113.1500015258789,110.9800033569336,113.1500015258789,0
2013-04-09,111.38999938964844,111.38999938964844,112.41999816894531,111.1500015258789,111.75,0
