Date,Close,High,Low,Open,Volume
2010-11-10,32.48672103881836,33.52038935073596,31.01005202179322,32.78205484222339,1956915
2010-11-11,37.50739288330078,37.80272666455303,32.782052383264784,32.782052383264784,1534789
2010-11-12,36.03071975708008,37.21205474372976,35.587719137086445,36.91672099706734,914015
2010-11-15,37.06439208984375,37.80272654055249,36.030723858851516,36.030723858851516,958947
2010-11-16,36.03071975708008,37.21205474372976,35.440052263755234,37.21205474372976,757935
2010-11-17,34.849388122558594,36.326056997910015,34.849388122558594,36.326056997910015,624321
2010-11-18,33.37272262573242,34.8493916505761,33.37272262573242,34.8493916505761,866718
2010-11-19,33.5203857421875,34.40638705702246,33.5203857421875,33.668052627993326,461146
2010-11-22,34.111053466796875,34.111053466796875,32.48671771429536,33.96338658020583,458781
2010-11-23,33.37272262573242,34.11105713815426,33.225055723248055,34.11105713815426,331079
2010-11-24,32.929718017578125,33.37271867255543,32.486717362600814,32.486717362600814,366552
2010-11-25,35.14473342895508,35.14473342895508,32.92972938916374,33.077396325149834,729557
2010-11-26,36.473724365234375,37.507392591577634,36.17839058627916,36.62139125471198,1837490
2010-11-29,36.473724365234375,37.35972570210003,35.2923892494135,37.212058812622416,808779
2010-11-30,38.098060607910156,38.68872817292791,36.473724804111335,36.91672547787465,1461479
2010-12-01,40.75606918334961,40.75606918334961,38.68873247585983,38.68873247585983,2096442
2010-12-02,42.23273468017578,43.11873871540408,41.346733309212624,42.23273468017578,1880058
2010-12-03,41.64206314086914,42.52806437091892,41.05139565416928,42.52806437091892,1144588
2010-12-06,42.08506393432617,42.82339834257286,41.789732835292384,41.93739971694173,799320
2010-12-07,40.75606918334961,42.67574164742691,39.87006773728256,42.67574164742691,967224
2010-12-08,42.23273468017578,42.52807113476197,40.01773125276788,40.75606572857051,929387
2010-12-09,41.64206314086914,42.823395450004135,41.3467267332545,42.52806437091892,549828
2010-12-10,40.903724670410156,41.64206166691567,40.75605780396198,41.64206166691567,552193
2010-12-13,40.60839080810547,41.19906093628049,40.46072394212786,40.90372454006067,451686
2010-12-14,38.836395263671875,41.051401308131254,38.836395263671875,40.75606485984027,1195433
2010-12-15,40.165401458740234,40.60840218073812,38.836399292746584,39.27940001474447,624321
2010-12-16,39.57473373413086,41.05140546816731,39.57473373413086,40.1654013620393,380741
2010-12-17,39.57473373413086,40.46073517599352,39.27939992017664,39.87006754808508,484794
