Date,Close,High,Low,Open,Volume
2000-01-04,7.279479503631592,7.449852284839414,6.969715691203869,7.124596830454138,12261099
2000-01-05,7.434360980987549,7.434360980987549,7.12459470444987,7.12459470444987,8563384
2000-01-06,7.744129180908203,7.8990092795646145,7.4188727416547975,7.434362336578347,15484225
2000-01-07,7.744129180908203,7.744129180908203,7.434362336578347,7.434362336578347,5661845
2000-01-10,8.053892135620117,8.053892135620117,7.66668349188866,7.744128390750444,8994717
2000-01-11,7.9764509201049805,8.20877644594894,7.744129484733204,8.20877644594894,8272147
2000-01-12,7.9764509201049805,8.05389327336199,7.821568258827054,7.821568258827054,5313638
2000-01-13,8.363656997680664,8.518537565188762,7.899007114214572,7.976448420586347,10741443
2000-01-14,7.899009704589844,8.363659740431741,7.821568372822214,8.28621534080993,6660180
2000-01-17,8.053892135620117,8.131333455319249,7.8990084736039545,8.131333455319249,4922441
2000-01-18,7.821568012237549,8.131334347645486,7.682173928267486,8.131334347645486,4676755
2000-01-19,7.589245319366455,7.899009088343459,7.589245319366456,7.899009088343459,2989368
2000-01-20,7.744129180908203,7.744129180908203,7.434362336578347,7.589245503088773,2279463
2000-01-21,7.9764509201049805,8.131334604000953,7.682174170462333,7.682174170462333,7926420
2000-01-24,8.286213874816895,8.363658260737282,7.976449625167781,8.05389196585241,7836081
2000-01-25,8.4410982131958,8.595981893799383,7.9764507505481355,8.28621504390123,6947391
2000-01-26,8.750861167907715,8.905747910771884,8.363659138708098,8.441097908359243,11433994
2000-01-27,8.905749320983887,8.983188102897346,8.51854109476251,8.82830747121598,8960780
2000-01-28,8.8283052444458,8.905747074680495,8.518538946124918,8.905747074680495,5588112
2000-01-31,8.286213874816895,8.518538851635018,8.208775113294845,8.518538851635018,3825102
2000-02-01,8.8283052444458,8.8283052444458,8.363658353509205,8.363658353509205,11050566
2000-02-02,8.8283052444458,8.8283052444458,8.8283052444458,8.8283052444458,0
2000-02-03,8.8283052444458,8.8283052444458,8.8283052444458,8.8283052444458,0
2000-02-04,8.8283052444458,8.8283052444458,8.8283052444458,8.8283052444458,0
2000-02-07,8.8283052444458,8.8283052444458,8.8283052444458,8.8283052444458,0
2000-02-08,8.8283052444458,8.8283052444458,8.8283052444458,8.8283052444458,0
2000-02-09,9.138070106506348,9.138070106506348,8.518539513813867,8.98318643571527,6469789
