Date,Close,High,Low,Open,Volume
2009-11-18,60.86011505126953,63.56500937364965,54.99951148636629,58.606035649032385,3907443
2009-11-19,69.6510238647461,70.32725108013463,59.733080723476085,60.86011807991957,3950720
2009-11-20,68.07318115234375,70.32726098419101,67.17154633869097,69.87644117660305,2045160
2009-11-23,68.52398681640625,71.45428875785724,68.07317187180186,68.07317187180186,2313195
2009-11-24,67.8477554321289,69.42560752970111,66.7207134180555,68.52397775965984,1634732
2009-11-25,67.62236022949219,68.5239901627315,65.8190955614909,67.62236022949219,1211740
2009-11-26,72.35591125488281,72.35591125488281,67.62235001861472,67.62235001861472,3048895
2009-11-27,77.31488037109375,77.31488037109375,72.581314600907,72.581314600907,5416535
2009-11-30,82.72469329833984,82.72469329833984,79.56898343752962,80.69602095870357,2778068
2009-12-01,83.85171508789062,87.00741937442622,83.40090018981411,87.00741937442622,4943286
2009-12-02,85.65496826171875,86.55659799030896,81.14681001572445,83.85170880453832,3477471
2009-12-03,83.40090942382812,86.10579911176822,82.9500848727931,86.10579911176822,1837154
2009-12-04,86.10578918457031,88.13446101816086,81.82304287090354,82.95007530941969,2891145
2009-12-07,86.55661010742188,90.16313912970617,84.75335039780202,86.10579518001691,2917669
2009-12-08,87.45823669433594,87.9090516048961,83.85171740985459,85.65497705209526,2237810
2009-12-09,86.10578918457031,88.13446101816086,86.10578918457031,87.0074189766008,1154503
2009-12-10,85.20415496826172,90.1631281699756,84.30252522304892,87.00741445868735,2990262
2009-12-11,86.78202056884766,87.90905306241197,85.20416355420438,86.55660830830817,1539803
2009-12-14,82.9500732421875,87.00741680825391,82.27385571653886,86.78201416738558,1781314
2009-12-15,80.01978302001953,84.30253437791059,79.79437555923812,82.95008001017773,1732453
2009-12-16,78.89273071289062,82.27385179043986,78.6673232812569,80.24518010421464,1119603
2009-12-17,80.24518585205078,81.59763053872668,78.66732891607363,79.79437095649214,1784106
2009-12-18,81.14682006835938,81.59763498850235,79.79437530793041,81.14682006835938,512337
2009-12-21,81.14682006835938,82.27386217023904,80.69600514821639,81.59763498850235,464872
2009-12-22,84.75334930419922,85.20416422578715,81.5976352500392,81.5976352500392,1926499
2009-12-23,85.65496826171875,88.35985744748939,84.07711143516426,84.75333853312853,1922311
2009-12-24,85.42955780029297,87.45822953322754,85.20415516499104,87.45822953322754,1014902
2009-12-25,83.40090942382812,86.10579911176822,83.40090942382812,86.10579911176822,693819
2009-12-28,82.72469329833984,84.30255062950654,82.49928099258192,84.0771383237486,557009
2009-12-29,82.72469329833984,83.85173562103695,82.04846598411233,83.40092061256738,583533
2009-12-30,83.40090942382812,83.85172437181815,82.04845497681308,83.17549714831061,741283
2009-12-31,83.40090942382812,84.30253931980816,82.49926992480309,83.85172437181815,795728
2010-01-04,81.5976333618164,83.85171752063957,81.5976333618164,83.85171752063957,607266
2010-01-05,79.34355926513672,82.49926366148682,79.34355926513672,82.04844874772252,643562
2010-01-06,79.79437255859375,80.69600236781383,78.89273794785164,79.34355765398372,492793
2010-01-07,76.18785095214844,80.24519002467325,75.06080885312551,80.24519002467325,1024674
2010-01-08,75.51162719726562,77.08948428685902,73.70836743947021,76.18785440796131,413220
2010-01-11,73.25755310058594,75.96244275945371,73.03214082749116,75.73703528788138,448120
2010-01-12,75.06079864501953,76.18784059076718,72.58131212620053,72.58131212620053,980002
2010-01-13,73.25755310058594,75.28622034473676,73.03214082749116,73.48296057215825,699403
2010-01-14,78.2165298461914,78.2165298461914,73.48296768355458,73.93378267032733,929745
2010-01-15,81.5976333618164,83.62630526353956,79.34355880603748,80.24518862834906,1929291
2010-01-18,80.69599914550781,81.59762891872454,79.7943693722911,80.69599914550781,922765
2010-01-19,80.47059631347656,81.14681868213923,77.76570203730377,79.7943739448139,709175
2010-01-20,81.14682006835938,82.72467709038203,79.56896784785891,80.2451902280734,1083307
