Date,Close,High,Low,Open,Volume
2000-01-04,33.340087890625,33.340087890625,32.77818064664555,33.340087890625,200662336736
2000-01-05,34.08924865722656,34.08924865722656,32.965433814583996,33.34009841298857,402466805912
2000-01-06,33.340087890625,34.08923789842604,33.340087890625,33.90199513460445,197545715802
2000-01-07,32.40351104736328,32.77817546833145,31.841603892154232,32.2162683131224,235270344752
2000-01-10,33.527339935302734,33.71458275095587,32.778189720126,33.340097119649606,276171685539
2000-01-11,32.96543502807617,34.27649274189685,32.77819219826686,33.902007082278224,277769544650
2000-01-12,33.902008056640625,33.902008056640625,32.96543597552097,33.15267881071175,216246806621
2000-01-13,33.340087890625,33.90199513460445,33.340087890625,33.90199513460445,147490954216
2000-01-14,34.08924865722656,34.65115607854785,33.52734123590528,33.71458405882199,288318964353
2000-01-17,35.025814056396484,35.58772143009572,35.025814056396484,35.58772143009572,155256940719
2000-01-18,34.46392059326172,35.02582448212332,34.27649877787033,35.02582448212332,131648031590
2000-01-19,34.46392059326172,35.02582448212332,34.27649877787033,34.46392059326172,134848688061
2000-01-20,34.08924865722656,34.463913255631134,33.902005834309854,34.463913255631134,125758120596
2000-01-21,34.83838653564453,34.83838653564453,34.08924013087524,34.08924013087524,113397441219
2000-01-24,35.213043212890625,35.77495036876308,35.02580047842868,35.213043212890625,175113122879
2000-01-25,36.149620056152344,36.149620056152344,35.58771281842587,36.149620056152344,223692148326
2000-01-26,38.58449172973633,38.58449172973633,37.273438021871144,37.273438021871144,357880999032
2000-01-27,38.95915603637695,39.52106332377163,38.21000597069355,38.95915603637695,287927232252
2000-01-28,38.21000671386719,38.21000671386719,37.647920463011594,37.647920463011594,197904810671
2000-01-31,38.02260208129883,38.21002390006037,36.89879063127357,37.08603349742265,168059342623
2000-02-01,37.83533477783203,38.397241965963666,37.64791308012356,38.397241965963666,153081850577
2000-02-02,37.83533477783203,37.83533477783203,37.83533477783203,37.83533477783203,0
2000-02-03,37.83533477783203,37.83533477783203,37.83533477783203,37.83533477783203,0
2000-02-04,37.83533477783203,37.83533477783203,37.83533477783203,37.83533477783203,0
2000-02-07,37.83533477783203,37.83533477783203,37.83533477783203,37.83533477783203,0
2000-02-08,37.83533477783203,37.83533477783203,37.83533477783203,37.83533477783203,0
2000-02-09,39.521060943603516,40.08296819715716,38.77191092303791,40.08296819715716,252580321587
2000-02-10,40.08296585083008,40.27020860688146,38.771908653455874,39.14639416555865,177540543615
2000-02-11,41.01953887939453,41.58144246636497,40.27020992563574,40.644874402515136,215027859365
2000-02-14,40.08296585083008,40.83211217545089,40.08296585083008,40.83211217545089,140301270822
2000-02-15,40.27022933959961,40.644893997101924,39.70832182964583,40.08298648714815,105105248690
2000-02-16,39.895729064941406,40.457457417154934,39.895729064941406,40.27021463308376,79352313450
2000-02-17,39.521060943603516,39.895725430145184,39.33381817659154,39.521060943603516,116400258474
2000-02-18,38.95915603637695,40.08297061116631,38.771913258088226,39.708306102060355,121805090619
2000-02-21,36.524105072021484,38.02258035054528,36.524105072021484,38.02258035054528,153903007581
2000-02-22,36.524105072021484,37.08601230193865,35.587712323833,35.96219784210432,168143612807
2000-02-23,36.336875915527344,36.524118744757004,36.14963308629768,36.524118744757004,73892584628
2000-02-24,36.524105072021484,36.898769542802995,36.33686231288583,36.524105072021484,83371097848
2000-02-25,37.2734489440918,37.460691778230725,36.52411970237234,36.52411970237234,165796729239
2000-02-28,37.2734489440918,37.2734489440918,37.2734489440918,37.2734489440918,0
2000-02-29,37.64792251586914,38.02258705269183,37.46068337582135,37.46068337582135,98749286567
